"","rowname","variable","value","geoid"
"543","I.3","hh1",17.007,"51059492400"
"544","I.4","hh1",10.531,"51059492400"
"545","I.5","hh1",77.881,"51059492400"
"546","I.6","hh1",59.429,"51059492400"
"547","I.7","hh1",88.49,"51059492400"
"548","I.8","hh1",42.805,"51059492400"
"549","I.9","hh1",18.721,"51059492400"
"550","I.1","hh2",33.858,"51059492400"
"551","I.2","hh2",19.087,"51059492400"
"552","I.3","hh2",5.292,"51059492400"
"553","I.4","hh2",6.354,"51059492400"
"554","I.5","hh2",52.36,"51059492400"
"555","I.6","hh2",74.19,"51059492400"
"556","I.7","hh2",113.705,"51059492400"
"557","I.8","hh2",113.139,"51059492400"
"558","I.9","hh2",86.014,"51059492400"
"559","I.1","hh3",19.872,"51059492400"
"560","I.2","hh3",4.71,"51059492400"
"561","I.3","hh3",8.857,"51059492400"
"562","I.4","hh3",3.88,"51059492400"
"563","I.5","hh3",43.53,"51059492400"
"564","I.6","hh3",72.136,"51059492400"
"565","I.7","hh3",74.745,"51059492400"
"566","I.8","hh3",68.513,"51059492400"
"567","I.9","hh3",64.757,"51059492400"
"568","I.1","hh4",1.802,"51059492400"
"569","I.2","hh4",3.979,"51059492400"
"570","I.3","hh4",2.718,"51059492400"
"571","I.4","hh4",2.999,"51059492400"
"572","I.5","hh4",22.749,"51059492400"
"573","I.6","hh4",56.916,"51059492400"
"574","I.7","hh4",87.413,"51059492400"
"575","I.8","hh4",52.544,"51059492400"
"576","I.9","hh4",65.88,"51059492400"
"577","I.1","hh5",0.878,"51059492400"
"578","I.2","hh5",3.678,"51059492400"
"579","I.3","hh5",7.125,"51059492400"
"580","I.4","hh5",5.236,"51059492400"
"581","I.5","hh5",14.48,"51059492400"
"582","I.6","hh5",36.328,"51059492400"
"583","I.7","hh5",45.646,"51059492400"
"584","I.8","hh5",46.999,"51059492400"
"585","I.9","hh5",34.629,"51059492400"
"586","I.1","hh1",5.118,"51059492300"
"587","I.2","hh1",0,"51059492300"
"588","I.3","hh1",43.578,"51059492300"
"589","I.4","hh1",12.273,"51059492300"
