"rowname","variable","value","geoid"
"I.4","hh5",5.628,"51059492500"
"I.5","hh5",4.057,"51059492500"
"I.6","hh5",12.273,"51059492500"
"I.7","hh5",31.739,"51059492500"
"I.8","hh5",38.361,"51059492500"
"I.9","hh5",92.274,"51059492500"
"I.1","hh1",27.59,"51059492400"
"I.2","hh1",29.546,"51059492400"
"I.3","hh1",17.007,"51059492400"
"I.4","hh1",10.531,"51059492400"
"I.5","hh1",77.881,"51059492400"
"I.6","hh1",59.429,"51059492400"
"I.7","hh1",88.49,"51059492400"
"I.8","hh1",42.805,"51059492400"
"I.9","hh1",18.721,"51059492400"
"I.1","hh2",33.858,"51059492400"
"I.2","hh2",19.087,"51059492400"
"I.3","hh2",5.292,"51059492400"
"I.4","hh2",6.354,"51059492400"
"I.5","hh2",52.36,"51059492400"
"I.6","hh2",74.19,"51059492400"
"I.7","hh2",113.705,"51059492400"
"I.8","hh2",113.139,"51059492400"
"I.9","hh2",86.014,"51059492400"
"I.1","hh3",19.872,"51059492400"
"I.2","hh3",4.71,"51059492400"
"I.3","hh3",8.857,"51059492400"
"I.4","hh3",3.88,"51059492400"
"I.5","hh3",43.53,"51059492400"
"I.6","hh3",72.136,"51059492400"
"I.7","hh3",74.745,"51059492400"
"I.8","hh3",68.513,"51059492400"
"I.9","hh3",64.757,"51059492400"
"I.1","hh4",1.802,"51059492400"
"I.2","hh4",3.979,"51059492400"
"I.3","hh4",2.718,"51059492400"
"I.4","hh4",2.999,"51059492400"
"I.5","hh4",22.749,"51059492400"
"I.6","hh4",56.916,"51059492400"
"I.7","hh4",87.413,"51059492400"
"I.8","hh4",52.544,"51059492400"
"I.9","hh4",65.88,"51059492400"
"I.1","hh5",0.878,"51059492400"
"I.2","hh5",3.678,"51059492400"
"I.3","hh5",7.125,"51059492400"
"I.4","hh5",5.236,"51059492400"
"I.5","hh5",14.48,"51059492400"
"I.6","hh5",36.328,"51059492400"
"I.7","hh5",45.646,"51059492400"
"I.8","hh5",46.999,"51059492400"
"I.9","hh5",34.629,"51059492400"
"I.1","hh1",5.118,"51059492300"
"I.2","hh1",0,"51059492300"
"I.3","hh1",43.578,"51059492300"
"I.4","hh1",12.273,"51059492300"
"I.5","hh1",30.172,"51059492300"
"I.6","hh1",63.141,"51059492300"
"I.7","hh1",78.885,"51059492300"
"I.8","hh1",23.384,"51059492300"
"I.9","hh1",21.448,"51059492300"
"I.1","hh2",5.505,"51059492300"
"I.2","hh2",0,"51059492300"
"I.3","hh2",8.636,"51059492300"
"I.4","hh2",6.996,"51059492300"
"I.5","hh2",18.139,"51059492300"
"I.6","hh2",60.97,"51059492300"
"I.7","hh2",85.277,"51059492300"
"I.8","hh2",54.629,"51059492300"
"I.9","hh2",90.848,"51059492300"
"I.1","hh3",1.643,"51059492300"
"I.2","hh3",0,"51059492300"
"I.3","hh3",6.76,"51059492300"
"I.4","hh3",3.247,"51059492300"
"I.5","hh3",8.373,"51059492300"
"I.6","hh3",21.503,"51059492300"
"I.7","hh3",25.616,"51059492300"
"I.8","hh3",17.887,"51059492300"
"I.9","hh3",45.971,"51059492300"
"I.1","hh4",0.456,"51059492300"
"I.2","hh4",0,"51059492300"
"I.3","hh4",4.389,"51059492300"
"I.4","hh4",3.796,"51059492300"
"I.5","hh4",10.058,"51059492300"
"I.6","hh4",90.451,"51059492300"
"I.7","hh4",100.164,"51059492300"
"I.8","hh4",33.651,"51059492300"
"I.9","hh4",84.035,"51059492300"
"I.1","hh5",0.278,"51059492300"
"I.2","hh5",0,"51059492300"
"I.3","hh5",6.637,"51059492300"
"I.4","hh5",4.688,"51059492300"
"I.5","hh5",4.258,"51059492300"
"I.6","hh5",16.935,"51059492300"
"I.7","hh5",22.057,"51059492300"
"I.8","hh5",17.45,"51059492300"
"I.9","hh5",27.697,"51059492300"
"I.1","hh1",6.174,"51059492203"
"I.2","hh1",5.744,"51059492203"
"I.3","hh1",3.21,"51059492203"
"I.4","hh1",8.057,"51059492203"
"I.5","hh1",6.282,"51059492203"
"I.6","hh1",3.773,"51059492203"
"I.7","hh1",34.651,"51059492203"
"I.8","hh1",17.962,"51059492203"
"I.9","hh1",28.148,"51059492203"
"I.1","hh2",11.101,"51059492203"
"I.2","hh2",4.462,"51059492203"
"I.3","hh2",1.08,"51059492203"
"I.4","hh2",5.571,"51059492203"
"I.5","hh2",4.391,"51059492203"
"I.6","hh2",4.845,"51059492203"
"I.7","hh2",61.133,"51059492203"
"I.8","hh2",67.517,"51059492203"
"I.9","hh2",211.9,"51059492203"
"I.1","hh3",3.743,"51059492203"
"I.2","hh3",0.808,"51059492203"
"I.3","hh3",1.588,"51059492203"
"I.4","hh3",3.244,"51059492203"
"I.5","hh3",2.867,"51059492203"
"I.6","hh3",3.576,"51059492203"
"I.7","hh3",32.368,"51059492203"
"I.8","hh3",32.764,"51059492203"
"I.9","hh3",146.041,"51059492203"
"I.1","hh4",0.664,"51059492203"
"I.2","hh4",1.025,"51059492203"
"I.3","hh4",0.579,"51059492203"
"I.4","hh4",2.689,"51059492203"
"I.5","hh4",2.039,"51059492203"
"I.6","hh4",3.979,"51059492203"
"I.7","hh4",51.015,"51059492203"
"I.8","hh4",34.15,"51059492203"
"I.9","hh4",173.859,"51059492203"
"I.1","hh5",0.319,"51059492203"
"I.2","hh5",0.961,"51059492203"
"I.3","hh5",1.543,"51059492203"
"I.4","hh5",4.439,"51059492203"
"I.5","hh5",1.42,"51059492203"
"I.6","hh5",2.827,"51059492203"
"I.7","hh5",23.833,"51059492203"
"I.8","hh5",26.607,"51059492203"
"I.9","hh5",67.051,"51059492203"
"I.1","hh1",1.789,"51059492202"
"I.2","hh1",0,"51059492202"
"I.3","hh1",2.949,"51059492202"
"I.4","hh1",1.778,"51059492202"
"I.5","hh1",37.607,"51059492202"
"I.6","hh1",21.167,"51059492202"
"I.7","hh1",49.504,"51059492202"
"I.8","hh1",22.745,"51059492202"
"I.9","hh1",33.461,"51059492202"
"I.1","hh2",2.334,"51059492202"
"I.2","hh2",0,"51059492202"
"I.3","hh2",1.194,"51059492202"
"I.4","hh2",1.091,"51059492202"
"I.5","hh2",62.042,"51059492202"
"I.6","hh2",51.195,"51059492202"
"I.7","hh2",160.047,"51059492202"
"I.8","hh2",142.97,"51059492202"
