"","puma","serialno","hh_comb","index","hh_size_recode","hh_income_cat","hh_income"
"2290","59301","2021HU0045937","2:200000",32,2,"$100,000 to $149,999",123000
"2291","59301","2021HU0047980","3:201000",33,3,"$100,000 to $149,999",134000
"2292","59301","2021HU0051824","3:300000",43,3,"$200,000 or more",448900
"2293","59301","2021HU0059235","2:200000",17,2,"$35,000 to $49,999",42200
"2294","59301","2021HU0061221","4:400000",34,4,"$100,000 to $149,999",107400
"2295","59301","2021HU0062825","3:300000",23,3,"$50,000 to $74,999",65000
"2296","59301","2021HU0065797","2:200000",32,2,"$100,000 to $149,999",120800
"2297","59301","2021HU0069868","4:220000",44,4,"$200,000 or more",618000
"2298","59301","2021HU0075731","4:400000",39,4,"$150,000 to $199,999",150800
"2299","59301","2021HU0077109","1:100000",21,1,"$50,000 to $74,999",65600
"2300","59301","2021HU0084429","1:100000",11,1,"$25,000 to $34,999",30000
"2301","59301","2021HU0085056","1:100000",26,1,"$75,000 to $99,999",80000
"2302","59301","2021HU0086843","2:200000",32,2,"$100,000 to $149,999",136600
"2303","59301","2021HU0088020","2:200000",42,2,"$200,000 or more",295400
"2304","59301","2021HU0088415","3:200010",43,3,"$200,000 or more",223000
"2305","59301","2021HU0089054","1:100000",6,1,"$15,000 to $24,999",21500
"2306","59301","2021HU0090067","4:400000",34,4,"$100,000 to $149,999",105000
"2307","59301","2021HU0092725","7:511000",40,5,"$150,000 to $199,999",158910
"2308","59301","2021HU0095807","5:212000",45,5,"$200,000 or more",243000
"2309","59301","2021HU0097716","2:200000",17,2,"$35,000 to $49,999",37200
"2310","59301","2021HU0099640","2:200000",42,2,"$200,000 or more",308400
"2311","59301","2021HU0099956","2:200000",37,2,"$150,000 to $199,999",187700
"2312","59301","2021HU0100827","5:201011",25,5,"$50,000 to $74,999",57300
